run_dir,topology,nodes,target,sleep_seconds,work_seconds,jitter_percent,msg_index,enqueue_ms,deliver_ms,latency_ms
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_baseline/rep1/run-20260208T115159922939000Z,chain,4,n3,0,0,0.0,1,12001,14590,2589
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_baseline/rep1/run-20260208T115159922939000Z,chain,4,n3,0,0,0.0,2,20001,24590,4589
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_baseline/rep1/run-20260208T115159922939000Z,chain,4,n3,0,0,0.0,3,28001,29590,1589
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_baseline/rep2/run-20260208T115313034919000Z,chain,4,n3,0,0,0.0,1,12001,14394,2393
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_baseline/rep2/run-20260208T115313034919000Z,chain,4,n3,0,0,0.0,2,20001,24394,4393
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_baseline/rep2/run-20260208T115313034919000Z,chain,4,n3,0,0,0.0,3,28000,29394,1394
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_sleep16_work2/rep1/run-20260208T115651811019000Z,chain,4,n3,16,2,0.0,1,12002,23402,11400
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_sleep16_work2/rep1/run-20260208T115651811019000Z,chain,4,n3,16,2,0.0,2,20002,23402,3400
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_sleep16_work2/rep1/run-20260208T115651811019000Z,chain,4,n3,16,2,0.0,3,28002,41401,13399
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_sleep16_work2/rep2/run-20260208T115804734989000Z,chain,4,n3,16,2,0.0,1,12001,23402,11401
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_sleep16_work2/rep2/run-20260208T115804734989000Z,chain,4,n3,16,2,0.0,2,20002,23402,3400
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_sleep16_work2/rep2/run-20260208T115804734989000Z,chain,4,n3,16,2,0.0,3,28002,41402,13400
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_sleep8_work2/rep1/run-20260208T115425955539000Z,chain,4,n3,8,2,0.0,1,12001,15402,3401
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_sleep8_work2/rep1/run-20260208T115425955539000Z,chain,4,n3,8,2,0.0,2,20002,25401,5399
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_sleep8_work2/rep1/run-20260208T115425955539000Z,chain,4,n3,8,2,0.0,3,28002,35402,7400
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_sleep8_work2/rep2/run-20260208T115538879952000Z,chain,4,n3,8,2,0.0,1,12002,15404,3402
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_sleep8_work2/rep2/run-20260208T115538879952000Z,chain,4,n3,8,2,0.0,2,20000,25404,5404
experiments/out/paper_dtn_20260208T115158Z/dtn_sleep_effect_sleep8_work2/rep2/run-20260208T115538879952000Z,chain,4,n3,8,2,0.0,3,28002,35404,7402
